,>35,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman
47397,1,2,1,1,14,7,United States of America,117505.0,25,1,1,0,0
47398,0,2,1,1,20,12,United Kingdom of Great Britain and Northern Ireland,57794.0,14,1,1,0,0
47399,1,2,1,1,12,7,United States of America,90000.0,4,0,1,0,0
47400,1,1,1,1,12,11,United States of America,90000.0,12,1,1,0,0
47401,0,2,1,1,11,10,United States of America,100000.0,2,0,1,0,0
47402,1,3,1,1,15,10,France,58654.0,14,1,1,0,0
47403,0,3,1,1,2,1,United States of America,140000.0,9,0,0,0,1
47404,0,4,1,1,30,25,United States of America,180000.0,11,0,1,0,0
47405,1,1,1,1,8,2,Greece,19200.0,14,1,1,0,0
47406,0,2,1,0,11,10,United States of America,70000.0,14,1,1,0,0
47407,1,0,1,1,13,5,Germany,58654.0,7,0,1,0,0
47408,0,2,0,1,10,5,France,47990.0,9,0,1,0,0
47409,1,0,1,1,3,2,Brazil,12468.0,5,0,1,0,0
47410,0,2,1,1,24,20,Brazil,19464.0,2,0,1,0,0
47411,1,2,1,1,15,11,Canada,62194.0,15,1,1,0,0
47412,1,1,1,1,8,6,Colombia,36228.0,37,1,1,0,0
47413,1,2,1,1,9,7,Brazil,45120.0,25,1,1,0,0
47414,1,2,1,1,5,4,United States of America,110000.0,22,1,1,0,0
47415,0,0,1,1,41,32,Canada,117126.0,14,0,1,0,0
47416,1,2,1,1,3,3,United States of America,160000.0,11,0,0,0,1
47417,0,0,1,1,20,20,United Kingdom of Great Britain and Northern Ireland,84178.0,18,1,1,0,0
47418,1,3,1,1,12,5,United States of America,88800.0,4,0,1,0,0
47419,0,3,1,1,14,12,United States of America,165000.0,10,0,1,0,0
47420,0,3,1,1,3,2,United States of America,85000.0,13,0,0,0,1
47421,1,3,1,1,12,8,United States of America,150000.0,32,1,1,0,0
47422,1,0,1,1,12,0,Austria,42657.0,7,0,1,0,0
47423,0,2,1,1,31,20,United States of America,215000.0,27,1,1,0,0
47424,1,2,1,1,8,2,Brazil,36000.0,5,0,1,0,0
47425,1,2,1,1,8,4,United States of America,180000.0,17,0,1,0,0
47426,1,2,1,1,9,6,United States of America,155000.0,13,1,1,0,0
47427,1,2,0,1,9,6,Brazil,20700.0,17,1,1,0,0
47428,1,2,1,1,15,11,India,46430.0,8,0,0,0,1
47429,0,2,1,1,3,0,United States of America,70000.0,14,0,1,0,0
47430,0,1,1,1,16,16,United States of America,110000.0,12,1,1,0,0
47431,1,1,1,1,7,4,Netherlands,85315.0,16,0,1,0,0
47432,0,3,1,1,16,16,Russian Federation,62340.0,18,1,1,0,0
47433,1,1,1,1,3,0,United States of America,70000.0,7,0,1,0,0
47434,1,3,0,1,7,3,France,79983.0,28,1,1,0,0
47435,1,3,1,1,6,5,United Kingdom of Great Britain and Northern Ireland,51512.0,5,0,1,0,0
47436,1,2,1,1,8,4,Poland,41628.0,17,0,1,0,0
47437,1,3,1,1,10,6,Germany,82116.0,19,0,1,0,0
47438,0,2,1,1,25,18,United States of America,170000.0,5,0,1,0,0
47439,0,3,1,1,22,16,Russian Federation,62340.0,5,0,1,0,0
47440,1,3,1,1,17,12,United States of America,100000.0,32,1,1,0,0
47441,0,2,1,1,18,18,United States of America,175000.0,8,0,1,0,0
47442,0,2,1,1,25,13,Germany,73584.0,15,1,1,0,0
47443,0,1,1,1,25,20,Israel,149464.0,24,1,1,0,0
47444,0,2,1,0,29,20,Canada,167881.0,27,1,1,0,0
47445,0,2,1,1,25,12,Canada,71837.0,15,1,1,0,0
47446,1,2,1,1,19,8,United States of America,85000.0,13,1,1,0,0
47447,0,1,1,1,12,10,United States of America,155000.0,24,1,1,0,0
47448,1,2,1,1,10,2,Brazil,41547.0,11,0,1,0,0
47449,1,3,1,1,6,2,United States of America,70000.0,18,1,1,0,0
47450,0,0,0,1,34,25,Italy,106644.0,28,1,1,0,0
47451,1,2,1,1,11,5,India,67066.0,16,0,1,0,0
47452,1,3,1,1,15,6,Paraguay,90000.0,9,0,1,0,0
47453,1,1,1,1,8,4,United States of America,80000.0,11,0,0,0,1
47454,0,2,1,1,10,4,Brazil,58584.0,15,0,1,0,0
47455,1,2,1,1,9,3,India,12188.0,1,0,1,0,0
47456,0,3,1,1,21,11,United States of America,140000.0,8,1,1,0,0
47457,0,2,1,1,22,14,Brazil,35938.0,24,1,1,0,0
47458,0,2,0,1,40,39,Canada,93696.0,23,1,0,0,1
47459,1,2,1,1,11,5,United States of America,115000.0,19,1,1,0,0
47460,1,3,1,1,13,6,Portugal,42657.0,20,1,1,0,0
47461,1,1,1,1,5,3,Brazil,21324.0,10,0,1,0,0
47462,1,4,1,0,12,3,United States of America,190000.0,13,0,1,0,0
47463,1,3,1,1,11,7,Chile,39036.0,8,0,1,0,0
47464,1,1,1,1,15,11,Brazil,110000.0,14,0,1,0,0
47465,1,1,1,1,7,0,United States of America,52000.0,9,1,1,0,0
47466,0,2,1,1,17,15,Cuba,27972.0,14,1,1,0,0
47467,0,2,0,1,20,7,United States of America,150000.0,13,0,1,0,0
47468,0,1,1,1,14,12,Israel,114792.0,17,0,1,0,0
47469,0,2,1,1,30,25,United States of America,120000.0,26,1,1,0,0
47470,0,1,1,1,12,10,Malaysia,13668.0,9,1,1,0,0
47471,0,4,1,0,35,30,Germany,102372.0,9,0,1,0,0
47472,1,2,1,1,6,5,United States of America,80000.0,14,1,1,0,0
47473,1,2,1,1,18,12,United States of America,110000.0,15,0,1,0,0
47474,1,0,1,1,14,10,Austria,50544.0,16,1,1,0,0
47475,0,1,1,1,10,6,Poland,33300.0,11,1,1,0,0
47476,0,1,1,1,13,10,United States of America,150000.0,23,1,0,0,1
47477,1,1,1,1,3,1,Romania,11652.0,12,0,1,0,0
47478,1,3,1,1,8,3,Netherlands,42657.0,27,1,1,0,0
47479,1,1,1,1,22,15,Canada,81207.0,8,0,1,0,0
47480,1,2,1,1,2,1,Brazil,9972.0,10,0,1,0,0
47481,0,3,1,1,25,14,Belgium,63984.0,12,1,1,0,0
47482,1,4,1,1,10,4,United Arab Emirates,94230.0,8,0,1,0,0
47483,1,2,1,1,4,2,Romania,22620.0,12,1,1,0,0
47484,0,2,1,1,25,17,Italy,58654.0,24,1,1,0,0
47485,1,2,1,1,8,5,Argentina,27350.0,25,1,1,0,0
47486,1,2,0,1,8,4,Poland,97128.0,10,0,1,0,0
47487,1,3,1,1,7,6,United Kingdom of Great Britain and Northern Ireland,188459.0,11,1,1,0,0
47488,1,0,1,1,3,2,Turkey,4512.0,32,1,1,0,0
47489,0,2,1,1,6,4,Canada,70276.0,4,0,1,0,0
47490,1,2,1,1,10,3,United States of America,90000.0,9,0,1,0,0
47491,1,2,1,1,4,3,Uganda,8196.0,21,1,1,0,0
47492,1,3,1,1,8,5,United States of America,165000.0,6,0,1,0,0
47493,0,3,1,1,20,16,Ukraine,60924.0,7,0,1,0,0
47494,1,4,0,1,22,12,Portugal,77628.0,8,0,1,0,0
47495,1,2,1,1,9,8,United States of America,165000.0,11,0,1,0,0
47496,0,3,1,0,32,8,United States of America,196000.0,17,1,1,0,0
47497,1,1,1,1,17,8,Sweden,68136.0,19,1,1,0,0
47498,1,1,0,1,6,0,United States of America,10000.0,19,1,1,0,0
47499,1,2,1,1,15,9,United States of America,120000.0,13,1,1,0,0
47500,1,0,1,1,13,7,Germany,53109.0,3,0,0,1,0
47501,1,0,1,1,3,0,Germany,36472.0,9,0,1,0,0
47502,0,0,0,1,35,25,United States of America,140000.0,15,0,1,0,0
47503,1,1,1,1,12,8,United Kingdom of Great Britain and Northern Ireland,90460.0,17,1,1,0,0
47504,0,4,1,0,24,20,Czech Republic,86607.0,4,0,1,0,0
47505,0,3,1,1,20,12,Switzerland,186155.0,8,0,1,0,0
47506,1,3,1,1,13,9,India,27729.0,24,1,1,0,0
47507,1,2,1,1,16,13,Croatia,35700.0,2,0,1,0,0
47508,0,2,1,1,14,10,United States of America,200000.0,10,0,1,0,0
47509,1,2,1,1,5,0,United States of America,25000.0,26,1,1,0,0
47510,0,2,1,1,12,11,United States of America,200000.0,13,1,1,0,0
47511,0,2,1,1,30,23,United States of America,220000.0,25,1,1,0,0
47512,1,4,1,1,8,2,United States of America,75000.0,10,1,1,0,0
47513,1,2,1,1,6,3,Israel,127344.0,12,0,1,0,0
47514,1,2,1,1,6,2,United States of America,95000.0,11,0,1,0,0
47515,1,2,1,1,13,7,Canada,117126.0,10,1,1,0,0
47516,1,1,1,1,6,2,United States of America,90000.0,19,1,0,0,1
47517,1,2,1,1,5,1,Belarus,8880.0,5,1,1,0,0
47518,1,3,1,1,12,5,Slovakia,63984.0,6,0,1,0,0
47519,1,0,1,1,13,4,Italy,47990.0,12,0,1,0,0
47520,0,3,0,1,20,10,Chile,43368.0,8,1,1,0,0
47521,1,2,1,1,16,11,Canada,105414.0,8,0,0,1,0
47522,0,2,1,1,20,18,"Iran, Islamic Republic of...",70920.0,24,1,1,0,0
47523,0,3,1,1,30,25,Netherlands,83184.0,21,1,1,0,0
47524,1,2,1,1,7,3,United States of America,120000.0,21,1,1,0,0
47525,1,2,1,1,10,3,United States of America,95000.0,8,0,1,0,0
47526,0,2,1,1,24,14,Russian Federation,71688.0,7,1,1,0,0
47527,0,2,1,1,7,6,United States of America,136500.0,14,1,1,0,0
47528,1,2,1,1,18,8,Germany,47350.0,12,0,1,0,0
47529,1,2,1,1,7,0,United States of America,120000.0,10,0,1,0,0
47530,1,3,1,1,11,5,Poland,34968.0,12,1,1,0,0
47531,1,1,1,1,17,11,United States of America,80000.0,20,1,1,0,0
47532,1,2,1,1,12,9,United States of America,104000.0,17,1,1,0,0
47533,0,4,1,1,23,15,Austria,85315.0,9,0,1,0,0
