,Age,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman,PCA1,PCA2,MDS1,MDS2
1674,1,1,1,1,22,8,United States of America,160000.0,27,1,1,0,0,5.9977712151923575,13.372081140812154,-8.11801238682572,-13.490363384312076
1675,1,1,1,1,10,4,Brazil,36000.0,19,1,1,0,0,-6.018249791617118,5.6454932740868085,5.178033884979892,-6.636348466618528
1676,1,2,1,1,13,10,Malaysia,42037.0,13,1,1,0,0,-0.040949446197624,-0.4712380076631938,0.10681380785262987,0.25851322878441924
1677,1,1,1,1,2,0,Slovenia,31993.0,15,1,1,0,0,-14.836420421410955,1.84098672671882,14.550692185350288,-4.0737885525861595
1678,0,3,1,0,16,10,Finland,90804.0,7,0,1,0,0,2.164198074635279,-6.527619895744308,-1.192156010059251,6.529256288650458
1679,0,1,1,1,15,15,Czech Republic,41568.0,3,0,1,0,0,4.44480378823994,-10.557691963737401,-2.965155315649444,11.623573539578292
1680,1,2,1,1,12,9,United States of America,135000.0,18,0,1,0,0,-1.3372815203971697,4.5570860861665246,0.7141550272370663,-4.895821908728442
1681,1,2,0,1,9,7,India,53055.0,6,0,1,0,0,-5.1851059432040865,-7.362238822560298,6.352945116278342,6.508908315493758
1682,1,2,1,1,13,10,Netherlands,35832.0,15,1,1,0,0,0.0014717977383812866,1.5282774429157315,-0.21875732496745012,-1.719025688899025
1683,0,3,1,1,10,10,Australia,113234.0,22,0,1,0,0,-2.178081917258022,8.584647650373032,0.8806574402843362,-9.389145035168342
1684,1,2,1,1,5,4,Germany,49296.0,19,1,1,0,0,-9.90344712433854,5.741999193757505,9.192985224551508,-7.329461768271289
1685,1,1,0,1,10,6,Brazil,57072.0,14,0,1,0,0,-4.866247175736723,0.6266235073137292,4.790310491788715,-1.44496510734629
1686,0,2,1,1,23,18,Australia,74310.0,12,1,1,0,0,12.741594208927596,-1.7442723327016278,-12.480697775647107,3.156927505429193
1687,1,3,1,1,11,0,Denmark,71208.0,15,1,1,0,0,-7.840924082212395,1.6673887141544939,7.751265001923408,-3.888534533815614
1688,1,2,1,1,5,3,United States of America,80000.0,11,0,0,0,1,-10.701866202839101,-2.2460065840258765,11.109108784635358,0.4971067314711271
1689,0,2,1,1,30,25,Spain,64859.0,18,1,1,0,0,22.711611356291623,4.048896581812857,-23.208081548968455,-1.2887337029769697
1690,1,1,1,1,7,0,Germany,33276.0,13,1,1,0,0,-10.99336039701935,-0.25501970601648355,11.176071479314718,-1.6077137745093788
1691,0,2,1,1,30,28,Mexico,129924.0,4,0,1,0,0,24.30219688422227,-9.977809574731085,-23.203065064555968,13.259999099811893
1692,1,3,1,1,19,8,Russian Federation,47184.0,12,0,1,0,0,3.3428198226394286,-1.566679671406395,-3.372508942908328,2.1285565697025666
1693,1,1,0,1,13,6,Chile,8424.0,15,1,0,1,0,-2.515191961690149,1.5684106673013516,2.2719007671059317,-2.0917639788371107
1694,0,1,1,1,25,22,Canada,78084.0,27,1,1,0,0,17.13145314549592,13.173408296521039,-18.837753897538757,-11.204718925447763
1695,1,2,1,0,13,3,Canada,105414.0,18,1,1,0,0,-4.334756718149628,4.59801004232504,3.4797991811826234,-5.914227691742143
1696,1,0,1,1,15,14,Poland,51636.0,17,1,1,0,0,4.114633001302799,3.449057157466737,-4.746623271475693,-3.3226710021469574
1697,1,1,1,1,7,1,Chile,11592.0,31,1,1,0,0,-9.981477300731571,17.730634756803976,7.456700863431884,-19.116019619176164
1698,1,2,1,1,7,4,India,13264.0,16,0,1,0,0,-8.414357044888472,2.7040522605111303,8.053445595906163,-4.031494585591505
1699,1,1,0,1,16,12,Argentina,72000.0,12,0,1,0,0,3.528006801042328,-1.5489281980081473,-3.284248343172631,1.760426559948287
1700,1,2,1,1,12,7,Canada,163977.0,10,0,1,0,0,-2.7646927663663172,-3.4208772435619026,3.2750558303157318,2.805268113151699
1701,0,2,0,1,35,30,Mexico,32316.0,22,1,1,0,0,29.826087408102016,7.901181724121315,-30.771175899942914,-4.437723175375655
1702,1,1,1,1,8,3,Poland,13368.0,14,0,1,0,0,-8.308789133142314,0.6952750151982833,8.178594921614751,-2.0080050216181387
1703,1,2,1,1,12,8,France,37834.0,6,0,1,0,0,-2.2252995337288373,-7.43020082378839,3.3394303147714113,6.834833348387418
1704,1,2,1,0,4,2,India,6804.0,9,1,1,0,0,-12.15304292313795,-4.216321700719989,12.832573644465814,2.222859953553183
1705,1,2,1,1,10,6,Germany,54480.0,11,0,1,0,0,-4.930282515696831,-2.37267089484456,5.2853297663562495,1.4698377515829362
1706,1,1,1,1,9,5,Italy,27025.0,21,1,1,0,0,-6.124118490652797,7.654254695338333,5.037907380337639,-8.563917124155214
1707,1,2,0,1,25,2,United Arab Emirates,19596.0,12,1,1,0,0,4.231060528322623,-1.6222343535304726,-8.569953796636938,-2.5497878243349357
